"",Note 31/12/2020,31/12/2019,Variation,En %
"",,,,
"",,,,
ACTIFS,,,,
"",,,,
"",,,,
"Caisse et avoirs auprès de la BCT, CCP et TGT",III-1 1 745 226,1 472 884,272 342,"18,49%"
Créances sur les établissements bancaires et financiers,III-2 1 444 915,1 734 739,(289 824),"-16,71%"
"Créances sur la clientèle 9,16%",III-3 11 340 970,10 389 129,951 841,
Portefeuille-titres commercial,III-4 8 022,69 390,(61 368),"-88,44%"
"",,,,
Portefeuille d'investissement,III-5 2 662 720,2 017 817,644 903,"31,96%"
"",,,,
Valeurs immobilisées,III-6 230 874,206 584,24 290,"11,76%"
"",,,,
"Autres actifs 0,11%",III-7 441 691,441 223,468,
"",,,,
Total des actifs,17 874 418,16 331 766,1 542 652,"9,45%"
"",,,,
"",,,,
PASSIFS,,,,
"",,,,
"",,,,
"Banque Centrale et CCP -35,05%",IV-1 780,1 201,(421),
Dépôts et avoirs des établissements bancaires et,,,,
"",IV-2 606 999,1 254 845,(647 846),"-51,63%"
financiers,,,,
Dépôts et avoirs de la clientèle,IV-3 14 786 831,12 996 824,1 790 007,"13,77%"
"",,,,
Emprunts et ressources spéciales,IV-4 328 188,213 572,114 616,"53,67%"
"",,,,
"Autres passifs 1,00%",IV-5 397 694,393 746,3 948,
"",,,,
Total des passifs,16 120 492,14 860 188,1 260 304,"8,48%"
"",,,,
"",,,,
CAPITAUX PROPRES,,,,
"",,,,
"",,,,
Capital,178 500,170 000,8 500,5%
"",,,,
Réserves,757 916,595 910,162 006,"27,19%"
"",,,,
Autres capitaux propres,3,3,-,-
"",,,,
"Résultats reportés 43,74%",535 665,372 659,163 006,
"Résultat de l'exercice -15,36%",281 842,333 006,(51 164),
"",,,,
Total des capitaux propres,V 1 753 926,1 471 578,282 348,"19,19%"
"",,,,
"",,,,
Total des capitaux propres et passifs,17 874 418,16 331 766,1 542 652,"9,45%"
En %  31/12/2020 31/12/2019,Variation,
"",,
"",,
PASSIFS EVENTUELS,,
"",,
"",,
"Cautions, avals et autres garanties données 2 384 847 2 422 407",(37 560),"-1,55%"
"",,
a- En faveur des établissements bancaires et financiers 720 351 726 225,(5 874),"-0,81%"
b- En faveur de la clientèle 1 664 497 1 696 182,(31 685),"-1,87%"
"",,
Crédits documentaires 648 474 581 067,67 407,"11,60%"
"",,
a- En faveur de la clientèle 588 616 508 163,80 453,"15,83%"
"",,
"b- Autres -17,89%  59 858 72 904",(13 046),
"",,
Total des passifs éventuels 3 033 321 3 003 474,29 847,"0,99%"
"",,
ENGAGEMENTS DONNES,,
"",,
"",,
Engagements de financements donnés 1 003 913 1 011 266,(7 353),"-0,73%"
"",,
En faveur de la clientèle 1 003 913 1 011 266,(7 353),"-0,73%"
"",,
Engagements sur titres 37 166 2 135,35 031,"1640,80%"
"",,
a- Participations non libérées 36 818 2 118,34 700,"1638,34%"
"",,
b- Titres à recevoir 348 17,331,"1947,06%"
"",,
"",,
"",,
Total des engagements donnés 1 041 079 1 013 401,27 678,"2,73%"
"",,
ENGAGEMENTS REÇUS,,
"",,
"",,
Garanties reçues 4 914 394 5 023 584,(109 190),"-2,17%"
"",,
"",,
"",,
Total des engagements reçus 4 914 394 5 023 584,(109 190),"-2,17%"
"",,Exercice Exercice,,
"",Note,,Variation,En %
"",,2020  2019,,
"",,,,
"",,,,
PRODUITS D'EXPLOITATION BANCAIRE,,,,
Intérêts et revenus assimilés,VII-1-1,996 797 1 093 784,(96 987),"-8,87%"
Commissions (en produits),VII-1-2,215 546 201 640,13 906,"6,90%"
Gains sur portefeuille-titres commercial et opérations,,,,
"6,88% financières",VII-1-3,113 700 106 379,7 321,
Revenus du portefeuille d'investissement,VII-1-4,126 335 114 036,12 299,"10,79%"
"",,,,
"",,,,
Total des produits d'exploitation bancaire,,1 452 378 1 515 839,(63 461),"-4,19%"
CHARGES D'EXPLOITATION BANCAIRE,,,,
Intérêts encourus et charges assimilées,VII-2-1,(507 808) (555 928),48 120,"-8,66%"
Commissions encourues,VII-2-2,(3 731) (3 022),(709),"23,46%"
"",,,,
Total des charges d'exploitation bancaire,,(511 539) (558 950),47 411,"-8,48%"
"",,,,
"",,,,
Produit Net Bancaire,,940 839 956 889,(16 050),"-1,68%"
"",,,,
Dotations aux provisions et résultat des corrections de,,,,
"27,40% valeurs sur créances, hors bilan et passif",VII-3,(133 819) (105 035),(28 784),
Dotations aux provisions et résultat des corrections de,,,,
"8,41% valeurs sur portefeuille d'investissement",VII-4,(15 604) (14 393),(1 211),
Autres produits d'exploitation,VII-5,11 752 11 567,185,"1,60%"
Frais de personnel,VII-6,(217 202) (212 057),(5 145),"2,43%"
Charges générales d'exploitation,VII-7,(154 312) (152 251),(2 061),"1,35%"
Dotations aux amortissements et aux provisions sur,,,,
