"",Note,31/12/2022,31/12/2021
"",,,
"",,,
"",,,
ACTIFS,,,
"",,,
"",,,
"",,,
"Caisse et avoirs auprès de la BCT, CCP et TGT",III-1,355 872,1 390 193
"",,,
Créances sur les établissements bancaires et financiers,III-2,3 445 606,1 585 810
"",,,
Créances sur la clientèle,III-3,12 279 155,12 138 035
"",,,
Portefeuille-titres commercial,III-4,34 834,14 445
"",,,
Portefeuille d'investissement,III-5,4 290 070,3 416 385
"",,,
Valeurs immobilisées,III-6,257 171,245 245
"",,,
Autres actifs,III-7,452 316,439 760
"",,,
"",,,
"",,,
Total des actifs,,21 115 024,19 229 873
"",,,
"",,,
PASSIFS,,,
"",,,
"",,,
"",,,
Banque Centrale et CCP,IV-1,898,1 213
"",,,
Dépôts et avoirs des établissements bancaires et financiers,IV-2,624 489,224 125
"",,,
Dépôts et avoirs de la clientèle,IV-3,17 166 843,16 220 062
"",,,
Emprunts et ressources spéciales,IV-4,770 288,482 810
"",,,
Autres passifs,IV-5,595 256,458 903
"",,,
"",,,
"",,,
Total des passifs,,19 157 774,17 387 113
"",,,
"",,,
CAPITAUX PROPRES,,,
"",,,
"",,,
"",,,
Capital,,178 500,178 500
"",,,
Réserves,,1 063 875,926 260
"",,,
Autres capitaux propres,,3,3
"",,,
Résultats reportés,,415 196,471 157
"",,,
Résultat de l'exercice,,299 676,266 840
"",,,
"",,,
"",,,
Total des capitaux propres,V,1 957 250,1 842 760
"",,,
"",,,
Total des capitaux propres et passifs,,21 115 024,19 229 873
"",31/12/2022,31/12/2021
"",,
"",,
"",,
PASSIFS EVENTUELS,,
"",,
"",,
"",,
"Cautions, avals et autres garanties données",2 214 904,2 272 949
"",,
a- En faveur des établissements bancaires et financiers,290 032,492 302
"",,
b- En faveur de la clientèle,1 924 872,1 780 647
"",,
Crédits documentaires,1 034 399,868 546
"",,
a- En faveur de la clientèle,800 441,837 539
"",,
b- Autres,233 958,31 007
"",,
"",,
"",,
Total des passifs éventuels,3 249 303,3 141 495
"",,
"",,
ENGAGEMENTS DONNES,,
"",,
"",,
"",,
Engagements de financements donnés,1 345 940,1 248 918
"",,
En faveur de la clientèle,1 345 940,1 248 918
"",,
Engagements sur titres,2 911,3 913
"",,
a- Participations non libérées,2 903,3 903
"",,
b- Titres à recevoir,8,10
"",,
"",,
"",,
Total des engagements donnés,1 348 851,1 252 831
"",,
"",,
ENGAGEMENTS REÇUS,,
"",,
"",,
"",,
Garanties reçues,5 090 767,4 886 792
"",,
"",,
"",,
Total des engagements reçus,5 090 767,4 886 792
"",,Exercice,Exercice
"",Note,,
"",,2022,2021
"",,,
"",,,
PRODUITS D'EXPLOITATION BANCAIRE,,,
"",,,
Intérêts et revenus assimilés,VII-1-1,1 155 130,997 392
"",,,
Commissions (en produits),VII-1-2,253 580,225 529
"",,,
Gains sur portefeuille-titres commercial et opérations financières,VII-1-3,206 836,136 789
Revenus du portefeuille d'investissement,VII-1-4,255 388,186 233
"",,,
"",,,
"",,,
Total des produits d'exploitation bancaire,,1 870 934,1 545 943
CHARGES D'EXPLOITATION BANCAIRE,,,
"",,,
Intérêts encourus et charges assimilées,VII-2-1,(595 298),(524 954)
"",,,
Commissions encourues,VII-2-2,(8 490),(5 523)
"",,,
"",,,
"",,,
Total des charges d'exploitation bancaire,,(603 788),(530 477)
"",,,
"",,,
Produit Net Bancaire,,1 267 146,1 015 466
"",,,
"",,,
"Dotations aux provisions et résultat des corrections de valeurs sur créances, hors bilan et passif",VII-3,(282 957),(190 832)
Dotations aux provisions et résultat des corrections de valeurs sur portefeuille d'investissement,VII-4,(9 756),(16 863)
Autres produits d'exploitation,VII-5,11 474,11 050
"",,,
Frais de personnel,VII-6,(262 463),(238 432)
"",,,
Charges générales d'exploitation,VII-7,(189 833),(170 959)
"",,,
Dotations aux amortissements et aux provisions sur immobilisations,VII-8,(44 649),(40 099)
"",,,
"",,,
Résultat d'exploitation,,488 962,369 331
Solde en gain/perte provenant des autres éléments ordinaires,VII-9,(12),(466)
Impôt sur les bénéfices,VII-10,(189 274),(82 135)
"",,,
Résultat des activités ordinaires,,299 676,286 730
Solde en gain/perte provenant des autres éléments extraordinaires,,-,(19 890)
"",,,
Résultat net de l'exercice,,299 676,266 840
Modification comptable affectant le résultat reporté,,-,-
"",,,
